"App","Rating","Reviews","Type","Content Rating","Genres"
"<U+0623><U+062D><U+062F><U+0627><U+062B> <U+0648><U+062D><U+0642><U+0627><U+0626><U+0642> | <U+062E><U+0628><U+0631> <U+0639><U+0627><U+062C><U+0644> <U+0641><U+064A> <U+0627><U+062E><U+0628><U+0627><U+0631> <U+0627><U+0644><U+0639><U+0627><U+0644><U+0645>",4.8,311,"Free","Everyone 10+","News & Magazines"
"<U+0627><U+0644><U+0641><U+0627><U+062A><U+062D><U+0648><U+0646> Conquerors",4.5,108130,"Free","Teen","Strategy"
"<U+0635><U+0648><U+0631> <U+062D><U+0631><U+0641> H",4.4,13,"Free","Everyone","Art & Design"
"<U+0644><U+0639><U+0628><U+0629> <U+062A><U+0642><U+062F><U+0631> <U+062A><U+0631><U+0628><U+062D> DZ",4.2,238,"Free","Everyone","Education"
"<U+09AC><U+09BE><U+0982><U+09B2><U+09BE> <U+099F><U+09BF><U+09AD><U+09BF> <U+09AA><U+09CD><U+09B0><U+09CB> BD Bangla TV",4.3,193,"Free","Everyone","Entertainment"
"<U+09AC><U+09BE><U+0982><U+09B2><U+09BE>flix",4.2,1111,"Free","Everyone","Entertainment"
"<U+101E><U+102D><U+1004><U+103A><U+1039> Astrology - Min Thein Kha BayDin",4.7,2225,"Free","Everyone","Lifestyle"
"<U+25BA> MultiCraft <U+2015> Free Miner! <U+0001F44D>",4.3,1305050,"Free","Everyone 10+","Adventure"
"<U+3010>Miku AR Camera<U+3011>Mikuture",4.4,36268,"Free","Teen","Entertainment"
"<U+3042><U+306A><U+30AB><U+30EC><U+3010>BL<U+3011><U+7121><U+6599><U+30B2><U+30FC><U+30E0>",4.7,6073,"Free","Mature 17+","Simulation"
"<U+4E57><U+63DB>NAVITIME Timetable & Route Search in Japan Tokyo",4.4,50459,"Free","Everyone","Maps & Navigation"
"<U+65E5><U+672C>AV<U+5386><U+53F2>",4.1,215,"Free","Teen","Books & Reference"
"<U+82F1><U+6F22><U+5B57><U+5178> EC Dictionary",4.3,55408,"Free","Everyone","Education"
"<U+AC10><U+C131><U+D559><U+C6D0> BL <U+CCAB><U+C0AC><U+B791>",4.4,190,"Free","Everyone","Comics"
"058.ba",4.4,27,"Free","Everyone","News & Magazines"
"1. FC K<f6>ln App",4.6,2019,"Free","Everyone","Sports"
"10 Minutes a Day Times Tables",4.1,681,"Free","Everyone","Education"
"10 WPM Amateur ham radio CW Morse code trainer",3.5,10,"Paid","Everyone","Communication"
"100 Doors of Revenge",4.1,105766,"Free","Teen","Puzzle"
"100+ C Programs",4.2,20,"Free","Everyone","Education"
"101 C Programming Problems",4.6,498,"Free","Everyone","Education"
"11st",3.8,48732,"Free","Everyone","Shopping"
"12 Step Meditations & Sober Prayers AA NA AL-ANON",4.7,759,"Free","Everyone 10+","Lifestyle"
"17th Edition Cable Sizer",4.4,47,"Paid","Everyone","Books & Reference"
"1LINE <U+0096> One Line with One Touch",4.6,214878,"Free","Everyone","Board"
"2-Player Co-op Zombie Shoot",4.2,33,"Free","Teen","Action"
"2 Amateur ham radio CW Morse code practice keys TX",4.8,6,"Paid","Everyone","Communication"
"20 Minuten (CH)",3.5,14153,"Free","Everyone 10+","News & Magazines"
"20 minutes (CH)",3.7,4379,"Free","Teen","News & Magazines"
"2000 AD Comics and Judge Dredd",3.7,705,"Free","Teen","Comics"
"2018Emoji Keyboard <U+0001F602> Emoticons Lite -sticker&gif",4.2,115773,"Free","Everyone","Personalization"
"2019 Tricks Es File Explores",3,4,"Free","Everyone","Tools"
"2048 BTS J Hope KPop Puzzle Game",4.7,17,"Free","Everyone","Puzzle"
"2048(AI)",4.3,20,"Free","Everyone","Casual"
"20WPM Amateur ham radio Koch CW Morse code trainer",4.3,12,"Paid","Everyone","Communication"
"211:CK",5,8,"Paid","Teen","Arcade"
"211:CK Lite",4.3,3,"Free","Mature 17+","Action"
"24 megapixel hd camera",4,802,"Free","Everyone","Photography"
"24/7 BZ Reis",3.1,421,"Free","Everyone","Travel & Local"
"2GIS: directory & navigator",4.5,768833,"Free","Everyone","Travel & Local"
"2ndLine - Second Phone Number",4.2,15880,"Free","Everyone","Communication"
"2RedBeans",4,337,"Free","Mature 17+","Dating"
"30-Day Ab Challenge Tracker",3.5,224,"Free","Everyone","Health & Fitness"
"30 Day Ab Challenge",4.5,1886,"Free","Everyone","Health & Fitness"
"30 Day AB Challenge - Lumowell",4.8,793,"Free","Everyone","Health & Fitness"
"30 Day Ab Challenge FREE",4.3,48253,"Free","Everyone","Health & Fitness"
"30 Day Fitness Challenge - Workout at Home",4.8,471036,"Free","Everyone","Health & Fitness"
"30WPM Amateur ham radio Koch CW Morse code trainer",5,1,"Paid","Everyone","Education"
"350 Diy Room Decor Ideas",4.5,27,"Free","Everyone","Art & Design"
"360-M Flight",3.9,84,"Free","Everyone","Tools"
"3D Blue Glass Water Keyboard Theme",4.1,62209,"Free","Everyone","Personalization"
"3D Bowling",4.1,1076243,"Free","Everyone","Sports"
"3D Color by Number with Voxels",4.5,5481,"Free","Everyone","Entertainment"
"3D Color Pixel by Number - Sandbox Art Coloring",4.4,1518,"Free","Everyone","Art & Design"
"3D DJ <U+0096> DJ Mixer 2018",4.3,6333,"Free","Everyone","Entertainment"
"3D DJ <U+0096> Music Mixer with Virtual DJ",4.3,796,"Free","Everyone","Entertainment"
"3D Holograms Joke",2.9,31596,"Free","Teen","Simulation"
"3D Live Neon Weed Launcher",4.5,1724,"Free","Mature 17+","Personalization"
"3D Metal Piano Keys Keyboard Theme",4.4,467,"Free","Everyone","Food & Drink"
"3D Tennis",4.2,1008012,"Free","Everyone","Sports"
"3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp",4.2,449,"Free","Teen","Casual"
"3G DZ Configuration",4.3,488,"Free","Everyone","Communication"
"3G to 4G Converter - Simulator",4.2,268,"Free","Everyone","Tools"
"3G/4G Config Dz",4.2,2058,"Free","Everyone","Tools"
"4 in a row",4.3,47698,"Free","Everyone","Board"
"4 in a Row",3.8,4257,"Free","Everyone","Board"
"4 x4 Offroad SUV 3D Truck Simulator Driving 2017",4.4,32,"Free","Everyone","Simulation"
"4K Ultra Camera",4.2,382,"Free","Everyone","Photography"
"4K VIDEO PLAYER ULTRA HD",3.7,20,"Free","Everyone","Video Players & Editors"
"4K Wallpapers and Ultra HD Backgrounds",4.6,7583,"Free","Everyone 10+","Personalization"
"4x4 Jeep Racer",4.1,7279,"Free","Everyone","Racing"
"5-Minute Clinical Consult",4.1,84,"Free","Everyone","Medical"
"5 Minute Ab Workouts",4.6,2067,"Free","Everyone","Health & Fitness"
"5 Minute Clinical Consult 2019 - #1 for 25 years",4.2,33,"Free","Everyone","Medical"
"5 Minute Veterinary Consult: Canine & Feline",2.3,17,"Free","Everyone","Medical"
"5 Nights at Cube Pizzeria City",3.8,2691,"Free","Teen","Adventure"
"50 Healthy Slow Cooker Recipes",4,196,"Free","Everyone 10+","Food & Drink"
"500 AP World History Questions",4.7,7,"Paid","Everyone","Education"
"50000 Free eBooks & Free AudioBooks",4.1,52312,"Free","Teen","Books & Reference"
"591 Housing Trading - Hong Kong",4.3,3522,"Free","Everyone","House & Home"
"6 Pack Promise - Ultimate Abs",4.6,18921,"Free","Everyone","Health & Fitness"
"7 Cups: Anxiety & Stress Chat",4.2,13799,"Free","Teen","Health & Fitness"
"7 Day Food Journal Challenge",4.5,3346,"Free","Teen","Lifestyle"
"7 minute abs workout - Daily Ab Workout",4.8,527,"Free","Everyone","Health & Fitness"
"7 Minute Workout",4.5,399009,"Free","Everyone","Health & Fitness"
"7 Nights at Pixel Pizzeria - 2",4,23168,"Free","Teen","Adventure"
"7 Weeks - Habit & Goal Tracker",4.4,6011,"Free","Everyone","Productivity"
"850 Sports News Digest",4.6,539,"Free","Everyone","Sports"
"98point6",4.6,47,"Free","Everyone","Medical"
"9th stage",4.5,454,"Free","Everyone","Food & Drink"
"A-B repeater",4.4,32,"Free","Everyone","Video Players & Editors"
"A-Y Collection",5,2,"Free","Teen","Shopping"
"A-Z App Store",3.2,2728,"Free","Everyone","Productivity"
"A-Z Punjabi Songs & Music Videos 2018",4.3,367,"Free","Everyone","Entertainment"
"A & B Taxi",4.1,41,"Free","Everyone","Maps & Navigation"
"A Better Camera",4.1,76484,"Free","Everyone","Photography"
"A Call From Santa Claus!",3.9,3720,"Free","Everyone","Entertainment"
"A hundred",4.1,236,"Free","Mature 17+","Dating"
"A Word A Day",3.7,2398,"Free","Everyone","Education"
"A&W Restaurants",1.7,14,"Free","Everyone","Food & Drink"
"A. O. Smith",4.2,32,"Free","Everyone","Tools"
"A/C Air Conditioner Remote",3.4,7816,"Free","Everyone","Tools"
"A/C REFRIGERANT CAPACITY",1.7,84,"Free","Everyone","Business"
"A/C Universal Remote Control",3.1,3263,"Free","Everyone","Tools"
"A+ Gallery - Photos & Videos",4.5,223941,"Free","Everyone","Photography"
"A+ Mobile",3.9,730,"Free","Everyone","Finance"
"A41 WatchFace for Android Wear Smart Watch",4.5,231,"Paid","Everyone","Lifestyle"
"aa",4.2,886418,"Free","Everyone","Strategy"
"Aab e Hayat Full Novel",4.3,1476,"Free","Everyone","Books & Reference"
"Aaj Bangla: ei samay er khobor",4.9,34,"Free","Everyone","News & Magazines"
"ab",3.8,10,"Free","Everyone","Casual"
"AB Blast Match 3",4.3,111,"Free","Everyone","Puzzle"
"AB Click2Shop",3.8,454,"Free","Everyone","Shopping"
"AB Crush Match 3",4.3,96,"Free","Everyone","Casual"
"AB Match",4.2,9,"Free","Everyone","Casual"
"AB Mobile App",3.4,2105,"Free","Everyone","Health & Fitness"
"AB Repeat Player",4.3,1628,"Free","Everyone","Video Players & Editors"
"AB Screen Recorder",4.2,533,"Free","Everyone","Tools"
"Ab Workouts",4.1,27501,"Free","Everyone","Health & Fitness"
"Ab Workouts - Ab Generator",4.7,21,"Free","Everyone","Health & Fitness"
"ABC <U+0096> Live TV & Full Episodes",3.3,50428,"Free","Teen","Entertainment"
"ABC Kids - Tracing & Phonics",4.5,36606,"Free","Everyone","Educational"
"ABC Preschool Free",3.8,27572,"Free","Everyone","Education"
"ABC15 Arizona",3.6,1820,"Free","Everyone","News & Magazines"
"ABCmouse.com",4.3,50887,"Free","Everyone","Education"
"abeoCoder",3.1,83,"Free","Everyone","Medical"
"Abs Training-Burn belly fat",4.7,2071,"Free","Everyone","Health & Fitness"
"Abs workout - 21 Day Fitness Challenge",4.8,18604,"Free","Everyone","Health & Fitness"
"Abs Workout - 30 Days Fitness App for Six Pack Abs",4.6,299,"Free","Everyone","Health & Fitness"
"Abs Workout - Burn Belly Fat with No Equipment",4.8,69279,"Free","Everyone","Health & Fitness"
"Abs workout 7 minutes",4.6,37224,"Free","Everyone","Health & Fitness"
"Absolute RC Heli Simulator",3.9,654,"Paid","Everyone","Sports"
"AC DC Power Monitor",5,1,"Paid","Everyone","Lifestyle"
"AC Freedom",3.5,537,"Free","Everyone","Business"
"AC Mobile Control",3.4,1450,"Free","Everyone","House & Home"
"ac remote control",3.7,9514,"Free","Everyone","Tools"
"Ac remote control",3.7,822,"Free","Everyone","Tools"
"AC Remote Control",3.3,472,"Free","Everyone","Tools"
"AC remote control mobile",3.9,3043,"Free","Everyone","Tools"
"AC Remote Control Simulator",3.3,353,"Free","Everyone","Entertainment"
"AC Remote for Carrier - NOW FREE",3.7,163,"Free","Everyone","Tools"
"AC Remote for Daikin - NOW FREE",3.5,383,"Free","Everyone","Tools"
"AC Remote for Haier - NOW FREE",3.9,336,"Free","Everyone","Tools"
"AC Remote For LG",3,1298,"Free","Everyone","Tools"
"AC Remote for LG - NOW FREE",3.7,1041,"Free","Everyone","Tools"
"AC Remote for Midea - NOW FREE",4,448,"Free","Everyone","Tools"
"AC Remote for O General - NOW FREE",3.7,274,"Free","Everyone","Tools"
"AC Remote for Samsung - NOW FREE",3.7,566,"Free","Everyone","Tools"
"AC Remote for Sharp - NOW FREE",3.7,332,"Free","Everyone","Tools"
"AC REMOTE UNIVERSAL-PRO",1.6,402,"Free","Everyone","Entertainment"
"AC Troubleshooter",4.7,147,"Free","Everyone","Tools"
"AC WIFI",3.6,41,"Free","Everyone","Tools"
"aCalendar - Android Phone",4.4,80119,"Free","Everyone","Productivity"
"aCalendar+ Calendar & Tasks",4.6,26919,"Paid","Everyone","Productivity"
"ACCDB MDB DB Manager Pro - Editor for MS Access",3.1,19,"Paid","Everyone","Productivity"
"Access Point Browser",4.2,25,"Free","Everyone","Tools"
"Access Point Finder",4,22,"Free","Everyone","Lifestyle"
"Access Point Names",4,138,"Free","Everyone","Communication"
"Account Class-11 Solutions (D K Goel)",4.5,663,"Free","Everyone","Education"
"Account Class-12 Solutions (D K Goel) Vol-1",4.4,708,"Free","Everyone","Education"
"Account Class-12 Solutions (D K Goel) Vol-2",4.6,124,"Free","Everyone","Education"
"Account Manager",4.1,76604,"Free","Everyone","Tools"
"Accounting Quiz (AQ) Malaysia",5,25,"Free","Everyone","Education"
"AcDisplay",4.1,66473,"Free","Everyone","Personalization"
"ACE Elite",4.1,2898,"Free","Everyone","Finance"
"Ace Screen Recorder w facecam",4.2,2447,"Free","Everyone","Tools"
"Acorn TV: World-class TV from Britain and Beyond",3,493,"Free","Everyone","Entertainment"
"Across Age DX",3.8,5964,"Free","Teen","Role Playing"
"ActionDirector Video Editor - Edit Videos Fast",4.5,74531,"Free","Everyone","Video Players & Editors"
"Active Soccer 2 DX",3.6,28,"Paid","Everyone","Sports"
"ACTIVEON CX & CX GOLD",3.3,439,"Free","Everyone","Video Players & Editors"
"Acupuncture Assistant",4.5,492,"Paid","Everyone","Medical"
"Ad-free Triangle Solver",4.5,118,"Free","Everyone","Education"
"Ad Block REMOVER - NEED ROOT",3.3,999,"Free","Everyone","Tools"
"Ad Blocker Turbo - Adblocker Browser",3.9,107,"Free","Everyone","Communication"
"Ad Detect Plugin - Handy Tool",3.8,5107,"Free","Everyone","Productivity"
"Ad Detector",3.8,208,"Free","Everyone","Tools"
"Ad Removal: thereisonlywe",3.4,16,"Paid","Everyone","Productivity"
"Ad Remove Plugin for App2SD",4.1,66,"Paid","Everyone","Productivity"
"Adblock Browser for Android",4.1,121113,"Free","Everyone","Communication"
"Adblock Fast",4.1,9914,"Free","Everyone","Productivity"
"Adblock Plus for Samsung Internet - Browse safe.",4,8769,"Free","Everyone","Communication"
"AdClear Ad blocker for Samsung",4.2,1586,"Free","Everyone","Tools"
"Add-On: Alcatel (h)",4.5,107,"Free","Everyone","Productivity"
"Add-On: bq (a)",3.6,26,"Free","Everyone","Productivity"
"Add Text To Photo",4.1,21578,"Free","Everyone","Photography"
"Add Watermark Free",4.3,18325,"Free","Everyone","Photography"
"Adguard Content Blocker",4.1,14491,"Free","Everyone","Tools"
"Adivina el cantante de Trap y Reggaeton",4.5,1914,"Free","Everyone","Trivia"
"ADMIRALTY H-Note",4.5,176,"Free","Everyone","Business"
"Adobe Fill & Sign: Easy PDF Form Filler",4.3,11402,"Free","Everyone","Productivity"
"Adobe Illustrator Draw",4.4,65766,"Free","Everyone","Photography"
"Adobe Photoshop Fix",4.2,28390,"Free","Everyone","Photography"
"Adobe Premiere Clip",3.9,39495,"Free","Everyone","Video Players & Editors"
"ADP Mobile Solutions",4.3,85185,"Free","Everyone","Business"
"ADS-B Driver",5,2,"Paid","Everyone","Tools"
"Adult Color by Number Book - Paint Mandala Pages",4.3,997,"Free","Everyone","Entertainment"
"Adult Color By Number Book: Number Coloring Pages",4.2,2231,"Free","Everyone","Entertainment"
"Adult Dating - AdultFinder",3.3,1601,"Free","Mature 17+","Dating"
"Adult Glitter Color by Number Book - Sandbox Pages",4.3,8918,"Free","Everyone","Entertainment"
"Advanced calculator fx 991 es plus & 991 ms plus",4.7,7252,"Free","Everyone","Education"
"Advanced Download Manager",4.5,569727,"Free","Everyone","Tools"
"Advanced Download Manager Holo",4.4,16192,"Free","Everyone","Tools"
"Advanced Download Manager Pro",4.7,6505,"Paid","Everyone","Tools"
"Advanced EX for FIAT",3.5,138,"Paid","Everyone","Tools"
"Advanced EX for HYUNDAI",2.7,168,"Paid","Everyone","Tools"
"Advanced EX for KIA",3.3,257,"Paid","Everyone","Tools"
"Advanced EX for MITSUBISHI",2.9,33,"Paid","Everyone","Tools"
"Advanced EX for NISSAN",2.9,164,"Paid","Everyone","Tools"
"Advanced EX for RENAULT",2.8,130,"Paid","Everyone","Tools"
"Advanced Task Killer",4.4,577059,"Free","Everyone","Productivity"
"Advanced Warfare Guns",2.9,2079,"Free","Everyone","Entertainment"
"Adventure Quest World Mobile Quiz",4.6,28,"Free","Everyone","Puzzle"
"Adventure Time Game Wizard",4.1,4107,"Paid","Everyone","Adventure"
"Adventure Time Run",4.3,24628,"Free","Everyone","Action"
"Adventure Xpress",4.2,24775,"Free","Everyone 10+","Puzzle"
"AdventureQuest 3D MMO",4.3,22667,"Free","Teen","Role Playing"
"AdventureQuest Dragons",3.9,10114,"Free","Everyone","Casual"
"ADW Launcher 2",4.3,181399,"Free","Everyone","Personalization"
"ADWLauncher 1 EX",4.3,28728,"Paid","Everyone","Personalization"
"AE 3D Moto 3",3.9,2588,"Free","Everyone 10+","Racing"
"AE 3D MOTOR :Racing Games Free",4.2,74902,"Free","Everyone","Racing"
"AE Air Hockey",3.8,926,"Free","Everyone","Sports"
"Ae Allah na Dai (Rasa)",4.7,263,"Free","Everyone","Books & Reference"
"AE Angry Chef",4.1,533,"Free","Everyone 10+","Action"
"AE Archer",3.9,8638,"Free","Everyone","Sports"
"AE Basketball",4,8100,"Free","Everyone","Sports"
"AE Bingo: Offline Bingo Games",4.4,61746,"Free","Teen","Casino"
"AE Blackjack",4,1417,"Free","Teen","Card"
"AE Bubble:Offline Bubble Games",4.2,6973,"Free","Everyone","Casual"
"AE Bulletins",4.5,14,"Free","Everyone","Books & Reference"
"AE Checkout Plugin",3.8,208,"Free","Everyone","Shopping"
"AE City Jump",4.5,804,"Free","Everyone","Action"
"AE Coin Mania : Arcade Fun",4.3,30002,"Free","Teen","Casino"
"AE Fishing Hunter",4.4,14,"Free","Everyone","Adventure"
"AE FreeCell",4.2,358,"Free","Everyone","Card"
"AE Garage",4.4,64,"Free","Everyone","Auto & Vehicles"
"AE GTO Racing",3.9,6988,"Free","Everyone 10+","Racing"
"AE Gun Ball: arcade ball games",3.7,8581,"Free","Everyone","Arcade"
"AE Jewels",4.2,960,"Free","Everyone","Action"
"AE Jewels 2: Island Adventures",4.2,652,"Free","Everyone","Action"
"AE Lucky Fishing",4.3,18277,"Free","Teen","Arcade"
"AE Master Moto",4,17876,"Free","Everyone","Racing"
"AE Order",4.1,19,"Free","Everyone","Tools"
"AE Roundy POP",4.4,5262,"Free","Everyone","Casual"
"AE Solitaire",4.3,1776,"Free","Everyone","Card"
"AE Spider Solitaire",4.5,17263,"Free","Everyone","Card"
"AE Sudoku",4.3,2171,"Free","Everyone","Puzzle"
"AE Video Poker",4,721,"Free","Teen","Casino"
"Aegis BT",4.8,16,"Free","Everyone","Business"
"AEMET's time",3.8,15966,"Free","Everyone","Weather"
"AF-STROKE (FREE)",4.5,93,"Free","Teen","Medical"
"AF Comics Reader - Free",2.8,5,"Free","Everyone","Comics"
"AF Hydro",2,136,"Free","Everyone","Health & Fitness"
"AF Link",4.7,210,"Free","Everyone","News & Magazines"
"AfreecaTV",3.3,381023,"Free","Everyone","Video Players & Editors"
"AfterFocus",4.2,165224,"Free","Everyone","Photography"
"Afterlight",4.3,50893,"Free","Everyone","Photography"
"AG Drive 3D",3.8,164,"Free","Everyone","Adventure"
"Ag PhD Deficiencies",3.9,20,"Free","Everyone","Books & Reference"
"Ag PhD Field Guide",4.1,114,"Free","Everyone","Books & Reference"
"Ag PhD Soils",2.3,3,"Free","Everyone","Productivity"
"AG Screen Recorder",3.7,7,"Free","Everyone","Tools"
"AG Subway Simulator Lite",4.4,6738,"Free","Everyone","Simulation"
"AG Subway Simulator Mobile",4.5,623,"Paid","Everyone","Simulation"
"AG Track",4.1,12,"Free","Everyone","Tools"
"Ag Valley Cooperative",5,6,"Free","Everyone","Business"
"Age Calculator",4.4,24265,"Free","Everyone","Tools"
"Age of AI: War Strategy",4.6,71,"Paid","Everyone","Strategy"
"Age of Conquest: N. America",4.5,659,"Paid","Everyone","Strategy"
"Age of Procreation DX",4.3,1894,"Free","Mature 17+","Simulation"
"Agenda EF",3.4,79,"Free","Everyone","Education"
"Agent HQ for The Division",4.1,1060,"Free","Everyone","Entertainment"
"Agoda <U+0096> Hotel Booking Deals",4.6,263525,"Free","Everyone","Travel & Local"
"AH-1 Viper Cobra Ops - helicopter flight simulator",3.8,1088,"Free","Teen","Action"
"AH Alarm Panel",3.9,7,"Paid","Everyone","Tools"
"AH Connect (Adventist Health)",3.4,5,"Free","Everyone","Health & Fitness"
"AH Kollection for KLWP",4.6,644,"Free","Everyone","Personalization"
"Ah! Bird",3.5,1689,"Free","Everyone","Sports"
"Ah! Coins",3.4,256,"Free","Everyone","Action"
"Ah! Cutie",3.9,536,"Free","Everyone","Casual"
"Ah! Monster",4.1,1998,"Free","Everyone","Casual"
"Ai-Ball AV Recorder",2.7,90,"Paid","Everyone","Photography"
"AI Benchmark",4,97,"Free","Everyone","Tools"
"AI Draw | Art Filter for Selfie",3,20,"Paid","Everyone","Photography"
"AI Face Beauty Analysis - IntelliFace (Free)",3.1,40,"Free","Everyone","Beauty"
"Ai File Viewer",4,66,"Free","Everyone","Tools"
"Ai illustrator viewer",3.4,486,"Free","Everyone","Art & Design"
"ai robot keyboard",4.7,1891,"Free","Everyone","Personalization"
"AI Sight",3.5,43,"Free","Everyone","Productivity"
"AI Today : Artificial Intelligence News & AI 101",5,43,"Free","Everyone","News & Magazines"
"AI with Python Tutorial",4.4,8,"Free","Everyone","Education"
"ai.type keyboard Plus + Emoji",4.5,57076,"Paid","Everyone","Tools"
"Air Conditioner Maintenance",4,11,"Free","Everyone","Productivity"
"Air conditioner remote control",3.4,29854,"Free","Everyone","Tools"
"Air Traffic",4.3,14110,"Free","Everyone","Maps & Navigation"
"Air Transat CinePlus B",2.2,83,"Free","Everyone","Travel & Local"
"AirAsia",3.9,98585,"Free","Everyone","Travel & Local"
"Airplane Fly Hawaii",4.1,83427,"Free","Everyone","Simulation"
"Airplane Pilot Car Transporter",4.1,182363,"Free","Everyone","Simulation"
"Airport + Flight Tracker Radar",4.2,6762,"Free","Everyone","Travel & Local"
"AirWatch Agent",3.1,20973,"Free","Everyone","Business"
"AirWatch Inbox",2.7,8346,"Free","Everyone","Business"
"AJ Academy: Amazing Animals",4.5,1564,"Free","Everyone","Educational"
"AJ Bell Youinvest",2.8,135,"Free","Everyone","Finance"
"AJ Blue Icon Pack",5,4,"Paid","Everyone","Personalization"
"AJ Cam",5,44,"Free","Everyone","Photography"
"AJ Gray Dark Icon Pack",5,2,"Paid","Everyone","Personalization"
"AJ Gray Icon Pack",4.8,5,"Paid","Everyone","Personalization"
"AJ Jump: Animal Jam Kangaroos!",4.4,2975,"Paid","Everyone","Arcade"
"AJ Men's Grooming",5,2,"Free","Everyone","Lifestyle"
"AJ Official",4.6,31,"Free","Everyone","Education"
"AJ Percent Off Calculator",4.4,134,"Free","Everyone","Shopping"
"AJ Player",4.8,18,"Free","Everyone","Video Players & Editors"
"AJ Rafael Music Lessons",5,1,"Free","Everyone","Entertainment"
"AJ RETAILS",5,9,"Free","Everyone","Shopping"
"AJ Styles HD Wallpapers",4.8,48,"Free","Everyone","Art & Design"
"AJ Styles Wallpaper 2018 - AJ Styles HD Wallpaper",4,18,"Free","Everyone","Art & Design"
"AK-47 3D",3.7,91,"Free","Everyone","Action"
"AK-47 Assault Rifle",3.7,165,"Free","Teen","Entertainment"
"AK-47 sounds",3.9,7,"Free","Everyone","Entertainment"
"AK-47 Sounds",3.9,656,"Free","Everyone 10+","Entertainment"
"AK-47: Simulator and Shooting",4,345,"Free","Everyone 10+","Simulation"
"AK 47 Guns Wallpaper",4.2,322,"Free","Everyone","Personalization"
"AK 47 Live Wallpaper",4.1,585,"Free","Everyone","Personalization"
"AK 47 Lock Screen",4.6,5,"Free","Mature 17+","Personalization"
"AK Booster",3.8,71,"Free","Everyone","Tools"
"AK Interactive",4.3,734,"Free","Everyone","Entertainment"
"AK Lodi Films",4.9,23,"Free","Everyone","Video Players & Editors"
"AK Math Coach",3.6,283,"Free","Everyone","Education"
"AK Phone",4.4,9,"Free","Everyone","Communication"
"AK47 Assault Rifle",3.9,54,"Free","Everyone","Tools"
"AKASO DV",2.4,99,"Free","Everyone","Tools"
"Akinator",4.3,1805398,"Free","Teen","Entertainment"
"Al'Quran Bahasa Indonesia",4.6,361780,"Free","Everyone","Books & Reference"
"Al'Quran Bahasa Indonesia PRO",4.7,1340,"Paid","Everyone","Books & Reference"
"Al-Moazin Lite (Prayer Times)",4.6,284670,"Free","Everyone","Lifestyle"
"Al-Muhaffiz",4.7,2319,"Free","Everyone","Books & Reference"
"Al-Quran (Free)",4.6,218451,"Free","Everyone","Books & Reference"
"Al-Quran 30 Juz free copies",4.5,12322,"Free","Everyone","Books & Reference"
"Al-Quran Ahmad Saud Offline",4.7,7116,"Free","Everyone","Education"
"Al-Quran Al-Muallim",4.5,199,"Free","Everyone","Education"
"Al Jazeera English",4.1,24456,"Free","Everyone","News & Magazines"
"Al jazeera TV",4.6,9952,"Free","Teen","Entertainment"
"Al Mayadeen",4.7,13620,"Free","Everyone","News & Magazines"
