Identificador;Comuna;Link;Tipo;Habitaciones;Banos;Estacionamientos;Metros cuadrados;Direccion
C13248393;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-campinas/3508436;Casa;5;4;No;218;Colina, Las campi<f1>as
C13248394;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3504824;Casa;6;7;No;265;Colina, Chicureo
C13248395;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-alselmoguay-guay/2716842;Casa;4;3;No;320;Colina, Camino San Alselmo/Guay Guay
C13248396;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-el-cobijo/2394826;Casa;4;2;No;191;Colina, Condominio El Cobijo
C13248397;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-el-valle-el-algarrobo/3522067;Casa;6;5;No;369;Colina, Av. El Valle / El Algarrobo
C13248398;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/lo-arcaya/3377763;Casa;4;4;4;230;Colina, Lo arcaya
C13248399;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-maria-de-chamisero-isanta-maria-de-chamisero/3057580;Casa;6;6;No;560;Colina, Santa Mar<ed>a De Chamisero I/Santa Mar<ed>a de Chamisero
C13248400;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/peaje-lo-pinto-colina/3506259;Casa;4;3;No;290;Colina, Peaje Lo Pinto Colina
C13248401;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-club-de-golf-las-brisas-de-chicureo/3556456;Casa;6;4;No;362;Colina, Condominio Club de Golf, Las Brisas de Chicureo
C13248402;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/hacienda-chacabuco-km-20/3160535;Casa;5;4;No;500;Colina, Hacienda Chacabuco km 20
C13248403;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/novelista-januario-espinoza/3627391;Casa;3;1;1;45;Colina, Novelista Januario Espinoza
C13248404;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3473628;Casa;8;8;8;700;Colina, Altos de la Reserva
C13248405;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-santa-luisa-de-los-ingleses/3416722;Casa;8;4;No;300;Colina, Chicureo, Parcela de Agrado en Condominio Santa Luisa de Los Ingleses.
C13248406;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/los-ingleseschicureo/1703533;Casa;4;4;No;320;Colina, Los Ingleses/Chicureo
C13248407;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/patriota-javiera-carrera/3578693;Casa;2;1;3;46;Colina, Patriota Javiera Carrera
C13248409;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-nieves/3112163;Casa;3;1;1;82.73;Colina, Las Nieves.
C13248410;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3071091;Casa;4;3;No;320;Colina, Chicureo
C13248411;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-monasteriocamino-monasterio/3037970;Casa;4;2;No;200;Colina, Camino Monasterio/Camino Monasterio
C13248412;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-valle-rotonda-piedra-rojaguay-guay-copec/2477586;Casa;6;4;No;355;Colina, El Valle / Rotonda Piedra Roja/Guay Guay / Copec
C13248413;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-josesanta-cecilia/3383953;Casa;4;7;No;400;Colina, San Jos<e9>/Santa Cecilia
C13248414;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-san-jose/3416746;Casa;3;1;No;130;Colina, Chicureo, Parcela de Agrado en Condominio San Jos<e9>.
C13248415;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenachicureo-norte/3726063;Casa;6;4;No;470;Colina, Santa Elena/Chicureo Norte
C13248416;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/reina-sur/3532920;Casa;5;5;No;570;Colina, Reina sur
C13248417;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/domingo-campos-lagos/3488371;Casa;2;1;1;73;Colina, Domingo Campos Lagos
C13248418;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-vicente-de-lo-arcayageneral-san-martin-colina/2497732;Casa;4;3;No;239;Colina, San Vicente de Lo Arcaya/General San Mart<ed>n - Colina
C13248420;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-jose/3185920;Casa;4;6;No;400;Colina, Camino san jos<e9>
C13248421;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/2260832;Casa;6;5;No;450;Colina, Colina
C13248422;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenasan-miguel/1157489;Casa;4;4;No;400;Colina, Santa Elena/San Miguel
C13248424;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-polo-mahuida-country-club/3676082;Casa;5;4;No;530;Colina, Condominio Polo Mahuida Country Club
C13248447;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/las-casitaslos-patos/2924764;Casa;5;3;No;170;El Bosque, las casitas/los patos
C13248448;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenidaamerica/2526485;Casa;6;2;No;200;El Bosque, Gran Avenida/America
C13248449;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-conjunto-heroes-del-morro/3383592;Casa;3;1;No;91;El Bosque, Casa de 1 Piso en Conjunto H<e9>roes del Morro
C13248451;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/eleuterio-ramirez/3390509;Casa;3;2;4;160;El Bosque, Eleuterio Ram<ed>rez
C13248452;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-en-lo-espejo/3734220;Casa;5;2;No;200;El Bosque, Casa en Lo Espejo
C13248453;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-villa-santa-maria/3693766;Casa;3;2;No;84;El Bosque, Casa de 1 Piso en Villa Santa Mar<ed>a
C13248455;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/humberto-allende/3127499;Casa;3;1;2;60;El Bosque, Humberto Allende
C13248456;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenida-el-observatorio/2591696;Casa;3;1;No;80;El Bosque, Gran Avenida, El Observatorio
C13248457;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gralkornerjmcarreravictor-plaza-mayorga/3598655;Casa;3;1;No;95;El Bosque, Gral.Korner/j.M.Carrera/victor plaza mayorga
C13248458;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/los-boldos-12360/3589322;Casa;4;1;2;85;El Bosque, Los Boldos 12360,
C13248459;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/calle-nuevo-horizonte-684/864027;Casa;4;2;1;170;El Bosque, Calle nuevo Horizonte 684
C13248460;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/mauricio-rugendas-12971/3558587;Casa;3;2;4;100;El Bosque, Mauricio Rugendas 12971
C13248461;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/av-central-87/3579469;Casa;3;1;1;78;El Bosque, Av. Central 87
C13248462;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/lo-moreno/3646486;Casa;3;2;4;108;El Bosque, Lo moreno
C13248463;El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/el-bosque-region-metropolitana/3339809;Casa;5;3;2;240;NA
C13248464;El Monte;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-monte/casa/casa-de-1-piso-en-villa-eden-el-monte/3148913;Casa;3;1;No;68;El Monte, Casa de 1 Piso en Villa Eden. El Monte
C13248465;El Monte;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-monte/casa/casa-de-un-piso-en-sector-central-de-el-monte/3311350;Casa;5;2;No;185;El Monte, Casa de un piso en sector central de El Monte
C13248481;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/alberto-undurraga/3020800;Casa;3;2;1;84;Huechuraba, Alberto Undurraga
C13248482;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/condominio-santa-maria-de-huechuraba/3525252;Casa;5;3;2;131;Huechuraba, Condominio Santa Mar<ed>a de Huechuraba
C13248483;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/villa-los-libertadores/3646354;Casa;6;2;2;138;Huechuraba, Villa los libertadores
C13248484;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/los-fresnos-pedro-fontovacolegios-san-francisco-boston-grace-y-pumahue/1743107;Casa;5;3;No;200;Huechuraba, Los fresnos / pedro fontova/colegios: san francisco, boston, grace y pumahue.
C13248485;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/guayalolen/3154636;Casa;2;1;1;65;Huechuraba, Guayalolen
C13248486;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/del-estero-7556/3637158;Casa;4;3;1;160;Huechuraba, Del Estero 7556
C13248487;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontovapedro-fontova/3141716;Casa;3;2;No;300;Huechuraba, Pedro Fontova/Pedro Fontova
C13248488;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontovacamino-el-roble/2765368;Casa;5;5;No;171;Huechuraba, Pedro fontova/camino el roble
C13248489;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/los-fresnos/3503577;Casa;5;3;No;140;Huechuraba, Los Fresnos
C13248490;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/calle-camino-del-roble-n-1790-casa-13-huechuraba/3597126;Casa;4;3;No;128;Huechuraba, Calle Camino del Roble N<U+00B0> 1790 casa 13, Huechuraba
C13248491;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/av-santa-martael-sauce/3407496;Casa;3;3;No;121;Huechuraba, Av santa marta/el sauce
C13248492;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/camino-de-los-fresnos/2620065;Casa;4;3;2;140;Huechuraba, Camino de Los Fresnos
C13248493;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/diego-barros-arana-con-las-torres/3710307;Casa;3;2;No;78;Huechuraba, Diego Barros Arana con Las Torres
C13248494;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/camino-el-roblepedro-fontova-norte/3550915;Casa;4;3;No;123;Huechuraba, Camino El Roble/Pedro Fontova Norte
C13248495;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontovapedro-fontova/3594418;Casa;4;4;No;180;Huechuraba, Pedro fontova/Pedro Fontova
C13248496;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/casa-en-villa-valle-verde/3734301;Casa;3;2;No;66;Huechuraba, Casa en Villa Valle Verde
C13248497;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/altos-del-carmen/2729465;Casa;4;3;2;270;Huechuraba, Altos del Carmen
C13248498;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/fabian-oyanedel/3527838;Casa;4;2;No;167;Huechuraba, Fabian Oyanedel
C13248499;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/los-libertadoressanta-marta/3713210;Casa;2;1;No;90;Huechuraba, Los libertadores/santa marta
C13248500;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/santa-ines/3631052;Casa;4;4;2;240;NA
C13248501;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/sector-san-clemente/3022707;Casa;5;3;2;165;Huechuraba, Sector San Clemente
C13248502;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/camino-de-cintura-1408/3369050;Casa;3;3;1;110;Huechuraba, Camino de Cintura 1408
C13248503;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontova/3644192;Casa;3;3;2;140;Huechuraba, Pedro Fontova
C13248504;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/camino-el-roble-1783/3413920;Casa;4;3;2;108;Huechuraba, Camino El Roble 1783
C13248505;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontova-nortesanta-marta-de-huechuraba/3688498;Casa;3;3;No;85;Huechuraba, Pedro fontova norte/santa marta de huechuraba
C13248506;Huechuraba;https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontova/3504926;Casa;3;3;No;122;Huechuraba, pedro fontova
C13248508;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/pintor-cicarelli/3360380;Casa;4;3;2;220;Independencia, Pintor Cicarelli
C13248513;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/maruri-279/2914921;Casa;3;2;No;102;Independencia, Maruri 279
C13248516;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/pablo-urzuaindependencia/3380377;Casa;8;4;No;174;Independencia, Pablo urzua/independencia
C13248517;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/independencia-region-metropolitana/3348586;Casa;6;1;1;180;NA
C13248518;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/enrico-fermi/3716493;Casa;4;2;1;126;Independencia, Enrico Fermi
C13248520;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/davilaecheverria/2585400;Casa;6;1;No;180;Independencia, Davila/Echeverria
C13248522;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/blanco-fombona-2438/1640071;Casa;3;1;2;123;Independencia, Blanco Fombona 2438
C13248524;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/entre-la-calle-tacora-y-reina-maria-catorce-la-fama/3165052;Casa;3;1;No;70;Independencia, Entre la Calle Tacora y Reina Maria (Catorce La Fama)
C13248525;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/domingo-santa-mariamaruri/2599885;Casa;4;2;No;120;Independencia, Domingo santa maria/maruri
C13248526;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/vivaceta-metro-chacabucodomingo-santa-maria/3170592;Casa;3;1;No;68;Independencia, Vivaceta/ metro chacabuco/domingo santa maria
C13248528;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/autopista-centralvivacetametro-conchali/3299081;Casa;2;1;No;70;Independencia, Autopista central/vivaceta/metro conchal<ed>
C13248529;Independencia;https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/chillan-vivacetahipodromo-chile-independencia/2464390;Casa;4;2;No;134;Independencia, Chillan / Vivaceta/Hipodromo Chile / Independencia
C13248531;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/la-cisterna/1941312;Casa;3;1;4;80;La Cisterna, la cisterna
C13248532;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/lo-ovalle/3140368;Casa;3;1;1;50;La Cisterna, Lo ovalle
C13248533;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/trinidad-ramirezlo-espejo/3344384;Casa;5;2;No;192;La Cisterna, Trinidad ramirez/lo espejo
C13248534;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/la-cisterna/3134918;Casa;2;2;1;52;La Cisterna, La Cisterna
C13248535;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/gran-avenida-americo-vespucio/2917082;Casa;5;2;No;270;La Cisterna, Gran Avenida / Americo Vespucio
C13248536;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/av-ossa-573/2418545;Casa;6;3;4;256;La Cisterna, Av. Ossa 573
C13248537;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/el-parron/2664690;Casa;3;3;3;270;La Cisterna, El parr<f3>n
C13248539;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/sta-corina-567/3584014;Casa;3;2;2;99;La Cisterna, Sta Corina 567
C13248540;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/gran-avenidalas-brisas/3539566;Casa;5;3;No;205;La Cisterna, Gran Avenida/Las Brisas
C13248541;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/echeverriavictoria/2003240;Casa;4;2;No;80;La Cisterna, echeverria/victoria
C13248542;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/brisas-del-maipovespucio-sur/3515201;Casa;2;1;No;90;La Cisterna, Brisas del Maipo/Vespucio Sur
C13248544;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/ernesto-riquelme/3548274;Casa;3;2;3;105;La Cisterna, Ernesto Riquelme
C13248545;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/casa-1-piso-en-poblacion-san-ramon/3167315;Casa;4;1;No;230;La Cisterna, Casa 1 Piso en Poblaci<f3>n San Ram<f3>n
C13248546;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/piloto-guillaimetgran-avenida/3120568;Casa;7;4;No;180;La Cisterna, Piloto guillaimet/gran avenida
C13248547;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/comandante-soza/3580272;Casa;3;2;3;195;La Cisterna, comandante soza
C13248548;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/livio-morraangamos/2790842;Casa;4;2;No;125;La Cisterna, Livio morra/angamos
